STATION_NAME,LATITUDE,LONGITUDE,T1E,T1R,T1B,T2P,T2L,T3B,T3L,T4C,T4W,T5,T6,T7,T8M,T8R,T9,M,C
Leppington,-33.9544,150.8081,,,,,1,,,,,1,,,,,,,2
Leumeah,-34.0511705,150.8300507,,,,,,,,,,,,,3,,,,1
Lewisham,-33.89327853,151.1472725,,,,14,,,,,,,,,,,,,1
Lidcombe,-33.86388935,151.0453895,13,,28,6,16,,1,,,,,2,,,,,6
Lindfield,-33.77518546,151.1691106,,,13,,,,,,,,,,,,29,,2
Liverpool,-33.92510969,150.9270542,,,,,5,1,,,,5,,,,,,,3
Loftus,-34.04513834,151.05132,,,,,,,,,4,,,,,,,,1
Macarthur,-34.07207332,150.7967371,,,,,,,,,,,,,1,,,,1
Macdonaldtown,-33.89666002,151.1862916,,,,18,,,,,,,,,,,,,1
Macquarie Fields,-33.98480719,150.8788965,,,,,,,,,,,,,6,,,,1
Macquarie Park,-33.78501276,151.1286414,,,,,,,,,,,,,,,,3,1
Macquarie University,-33.77741329,151.1181871,,,,,,,,,,,,,,,,2,1
Marayong,-33.74645111,150.9001991,,10,,,,,,,,21,,,,,,,2
Marrickville,-33.91409037,151.1540328,,,,,,13,15,,,,,,,,,,2
Martin Place,-33.86787091,151.2115912,,,,,,,,23,21,,,,,,,,2
Mascot,-33.92318797,151.1872531,,,,,,,,,,,,,15,13,,,2
Meadowbank,-33.81623815,151.0900609,,,,,,,,,,,,,,,11,,1
Merrylands,-33.8363502,150.9928633,,,,,12,,,,,12,,,,,,,2
Milsons Point,-33.84589277,151.211825,19,23,21,,,,,,,,,,,,21,,4
Minto,-34.02714972,150.8425967,,,,,,,,,,,,,4,,,,1
Miranda,-34.03635478,151.1028535,,,,,,,,4,,,,,,,,,1
Mortdale,-33.97058667,151.0812881,,,,,,,,11,6,,,,,,,,1
Mount Colah,-33.67202205,151.1144926,,,3,,,,,,,,,,,,,,1
Mount Druitt,-33.76954233,150.8197988,6,,,,,,,,,,,,,,,,1
Mount Kuring-gai,-33.65300164,151.1368223,,,2,,,,,,,,,,,,,,1
Mulgrave,-33.62668367,150.830637,,5,,,,,,,,,,,,,,,1
Museum,-33.87569985,151.2101064,,,,25,28,21,25,,,,,,18,16,,,6
Narwee,-33.94751814,151.0697482,,,,,,,,,,,,,,4,,,1
Newtown,-33.89788301,151.1799247,,,,17,21,,,,,,,,,,,,2
Normanhurst,-33.72075274,151.0972405,,,,,,,,,,,,,,,2,,1
North Ryde,-33.7944217,151.1379398,,,,,,,,,,,,,,,,4,1
North Strathfield,-33.85868801,151.0879861,,,,,,,,,,,,,,,14,,1
North Sydney,-33.84120853,151.2074102,20,24,20,,,,,,,,,,,,22,,4
Oatley,-33.98084516,151.0789651,,,,,,,,10,,,,,,,,,1
Olympic Park,-33.84652013,151.0695472,,,,,,,,,,,,1,,,,,1
Padstow,-33.95189202,151.0325572,,,,,,,,,,,,,,2,,,1
Panania,-33.95431112,150.9978261,,,,,,,,,,,,,10,,,,1
Parramatta,-33.81757926,151.0055351,12,17,,1,,,,,,14,,,,,,,4
Pendle Hill,-33.8013479,150.9563427,,14,,,,,,,,17,,,,,,,2
Pennant Hills,-33.73793863,151.0725297,,,,,,,,,,,,,,,4,,1
Penrith,-33.75005529,150.6961348,2,,,,,,,,,,,,,,,,1
Penshurst,-33.96612954,151.0893865,,,,,,,,12,7,,,,,,,,1
Petersham,-33.8938594,151.1551562,,,,15,,,,,,,,,,,,,1
Punchbowl,-33.92537752,151.055867,,,,,,,7,,,,,,,,,,1
Pymble,-33.74472888,151.142138,,,10,,,,,,,,,,,,,,1
Quakers Hill,-33.72802483,150.886725,,9,,,,,,,,22,,,,,,,2
Redfern,-33.8923699,151.1984847,15,19,25,19,22,15,19,20,18,,,,,,17,,10
Regents Park,-33.88298889,151.0241875,,,,,,,3,,,,,,,,,,1
Revesby,-33.95246003,151.0148384,,,,,,,,,,,,,11,1,,,2
Rhodes,-33.83053036,151.0870323,,,,,,,,,,,,,,,12,,1
Richmond,-33.59911164,150.753211,,1,,,,,,,,,,,,,,,1
Riverstone,-33.67904337,150.8602679,,7,,,,,,,,,,,,,,,1
Riverwood,-33.95153541,151.0520353,,,,,,,,,,,,,,3,,,1
Rockdale,-33.95188027,151.1368616,,,,,,,,17,12,,,,,,,,2
Rooty Hill,-33.77151173,150.8450187,7,,,,,,,,,,,,,,,,1
Rosehill,-33.82334612,151.0220689,,,,,,,,,,,6,,,,,,1
Roseville,-33.78422026,151.177266,,,14,,,,,,,,,,,,28,,2
